User_ID,Streaming_Share_Of_Usage,Original_Predicted_Month_End_MB,New_Predicted_Month_End_MB,Data_Saved_MB,Original_Shortage_MB,New_Shortage_MB,Original_Risk,New_Risk
U0001,0.43,7909.18,7232.34,676.84,0.0,0.0,Low,Low
U0002,0.15,2083.32,2022.48,60.84,0.0,0.0,Low,Low
U0003,0.34,3572.2,3331.79,240.41,500.2,259.79,High,High
U0004,0.46,7154.23,6495.8,658.43,0.0,0.0,Low,Low
U0005,0.31,10595.94,9946.8,649.14,355.94,0.0,High,Medium
U0006,0.13,2252.83,2193.47,59.36,0.0,0.0,Low,Low
U0007,0.48,6380.75,5768.07,612.68,0.0,0.0,Low,Low
U0008,0.5,17726.13,15942.05,1784.08,7486.13,5702.05,High,High
U0009,0.36,6965.83,6462.49,503.34,0.0,0.0,Low,Low
U0010,0.09,4080.93,4008.51,72.42,1008.93,936.51,High,High
U0011,0.45,2835.82,2582.65,253.17,0.0,0.0,Low,Low
U0012,0.11,2919.89,2855.22,64.67,871.89,807.22,High,High
U0013,0.46,3152.62,2859.94,292.68,80.62,0.0,High,Medium
U0014,0.2,6840.9,6564.85,276.05,0.0,0.0,Low,Low
U0015,0.24,4514.47,4298.05,216.42,0.0,0.0,Medium,Low
U0016,0.31,9493.41,8895.41,598.0,0.0,0.0,Medium,Medium
U0017,0.32,9770.96,9141.21,629.75,0.0,0.0,Medium,Medium
U0018,0.36,9209.24,8539.57,669.67,0.0,0.0,Medium,Low
U0019,0.42,10522.39,9633.45,888.94,282.39,0.0,High,Medium
U0020,0.24,12419.01,11819.08,599.93,2179.01,1579.08,High,High
U0021,0.51,15137.98,13596.84,1541.14,4897.98,3356.84,High,High
U0022,0.33,18127.41,16921.12,1206.29,7887.41,6681.12,High,High
U0023,0.19,9294.88,8933.33,361.55,0.0,0.0,Medium,Medium
U0024,0.23,5951.69,5673.94,277.75,831.69,553.94,High,High
U0025,0.13,1986.07,1935.52,50.55,0.0,0.0,Low,Low
U0026,0.4,7968.44,7334.24,634.2,0.0,0.0,Low,Low
U0027,0.32,5767.82,5399.41,368.41,0.0,0.0,Low,Low
U0028,0.03,9363.32,9304.9,58.42,0.0,0.0,Medium,Medium
U0029,0.39,3654.18,3370.47,283.71,0.0,0.0,Low,Low
U0030,0.24,4355.56,4144.65,210.91,0.0,0.0,Low,Low
U0031,0.5,8076.86,7261.29,815.57,0.0,0.0,Low,Low
U0032,0.11,4353.05,4253.89,99.16,0.0,0.0,Low,Low
U0033,0.14,5085.37,4940.92,144.45,0.0,0.0,Low,Low
U0034,0.38,14388.14,13307.59,1080.55,4148.14,3067.59,High,High
U0035,0.46,8840.65,8025.41,815.24,0.0,0.0,Medium,Low
U0036,0.27,5341.03,5052.46,288.57,0.0,0.0,Low,Low
U0037,0.33,8463.27,7898.08,565.19,0.0,0.0,Low,Low
U0038,0.4,11433.54,10518.47,915.07,1193.54,278.47,High,High
U0039,0.03,1666.83,1656.05,10.78,0.0,0.0,Low,Low
U0040,0.07,5367.21,5292.99,74.22,0.0,0.0,Low,Low
U0041,0.4,2897.69,2663.92,233.77,0.0,0.0,Low,Low
U0042,0.51,4868.06,4367.33,500.73,1796.06,1295.33,High,High
U0043,0.41,2949.87,2710.34,239.53,0.0,0.0,Low,Low
