User_ID,Date,WiFi_Availability,Mobile_Data_MB,WiFi_Data_MB,YouTube_MB,Instagram_MB,WhatsApp_MB,Netflix_MB,Gaming_MB,Browsing_MB,Work_Study_MB,Screen_Time_Hours,Is_Weekend,Is_Holiday
U0001,2025-01-01,1,84.72,211.88,11.77,13.34,4.09,22.81,12.28,11.12,2.53,3.97,0,1
U0001,2025-01-02,0,361.7,8.26,49.86,60.38,10.16,72.99,55.28,29.81,54.29,4.24,0,0
U0001,2025-01-03,0,308.02,22.74,86.34,38.63,11.66,60.47,19.37,42.16,24.75,2.87,0,0
U0001,2025-01-04,1,106.43,497.39,22.17,14.53,8.37,26.3,6.22,18.28,2.06,3.85,1,0
U0001,2025-01-05,1,144.75,282.6,26.14,28.37,10.93,25.73,15.3,22.95,3.75,4.33,1,0
U0001,2025-01-06,1,171.49,374.14,39.79,21.17,5.59,26.14,14.47,29.14,21.46,4.02,0,0
U0001,2025-01-07,0,326.62,3.05,56.49,34.9,20.71,42.3,68.61,32.94,44.53,4.49,0,0
U0001,2025-01-08,1,141.91,233.5,18.5,15.34,9.85,48.92,4.93,18.18,14.84,2.23,0,0
U0001,2025-01-09,1,137.3,427.56,39.98,12.13,7.93,23.07,13.61,18.56,11.05,3.27,0,0
U0001,2025-01-10,1,162.2,436.46,42.32,22.47,8.94,37.66,7.55,16.39,13.9,4.54,0,0
U0001,2025-01-11,1,172.21,666.45,33.41,31.13,6.47,42.57,15.04,26.47,3.34,4.65,1,0
U0001,2025-01-12,1,138.19,344.02,23.92,26.27,6.64,29.24,14.15,21.74,5.18,4.42,1,0
U0001,2025-01-13,1,195.24,478.17,40.46,25.17,10.22,34.95,16.5,27.26,25.05,3.82,0,0
U0001,2025-01-14,0,278.35,17.33,37.26,60.89,8.58,66.64,21.02,46.44,15.26,3.47,0,1
U0001,2025-01-15,1,110.54,336.3,15.01,12.17,3.74,31.96,12.39,21.08,5.35,2.32,0,0
U0001,2025-01-16,1,141.0,478.1,20.29,13.56,10.16,26.03,8.55,29.94,21.18,4.39,0,0
U0001,2025-01-17,1,131.79,534.07,23.93,16.57,9.36,31.62,10.35,16.58,12.83,3.93,0,0
U0001,2025-01-18,1,189.77,543.61,36.53,32.38,5.3,48.06,29.72,16.41,6.19,3.96,1,0
U0001,2025-01-19,1,225.44,562.13,43.15,36.77,8.97,51.58,35.57,24.75,6.61,4.42,1,0
U0001,2025-01-20,1,74.41,253.37,11.82,5.9,5.17,14.47,7.7,13.11,10.29,1.86,0,0
U0001,2025-01-21,1,162.87,430.6,44.09,22.83,10.49,23.65,17.38,16.13,15.27,4.16,0,0
U0001,2025-01-22,0,395.76,7.11,97.56,56.03,11.85,83.87,23.83,49.06,41.9,3.82,0,0
U0001,2025-01-23,1,191.05,386.79,43.27,35.74,7.4,26.13,21.44,29.47,12.32,3.61,0,0
U0001,2025-01-24,0,333.15,25.02,64.98,47.78,7.67,63.76,35.12,37.98,49.21,3.17,0,0
U0001,2025-01-25,1,176.7,472.57,33.0,25.68,9.57,45.92,22.37,20.03,6.0,4.32,1,0
U0001,2025-01-26,1,214.95,654.92,58.21,18.42,10.18,46.36,26.17,32.96,5.45,4.53,1,1
U0001,2025-01-27,0,323.38,19.64,54.98,47.15,20.23,72.4,41.84,44.84,16.06,3.03,0,0
U0001,2025-01-28,0,295.12,15.35,34.74,56.94,6.7,76.01,26.11,41.13,29.87,2.85,0,0
U0001,2025-01-29,1,154.75,274.27,24.48,18.54,7.04,35.79,13.69,25.2,17.63,3.71,0,0
U0001,2025-01-30,0,421.26,7.11,80.65,76.29,12.88,68.39,36.74,72.95,39.65,4.2,0,0
U0001,2025-01-31,1,84.62,273.42,9.86,7.33,8.15,18.1,5.69,21.11,7.61,3.4,0,0
U0001,2025-02-01,1,155.8,423.15,35.65,17.93,5.07,42.79,12.54,24.86,4.5,4.59,1,0
U0001,2025-02-02,0,440.98,7.27,121.81,58.16,18.91,84.82,56.62,50.91,14.46,4.31,1,0
U0001,2025-02-03,0,332.24,24.28,77.42,42.92,13.57,78.11,20.99,41.98,30.67,3.72,0,0
U0001,2025-02-04,1,191.05,222.22,41.08,28.48,7.4,35.56,14.33,27.32,12.63,3.67,0,0
U0001,2025-02-05,0,413.43,8.12,109.83,49.36,16.61,112.85,33.83,35.36,22.52,3.75,0,0
U0001,2025-02-06,1,182.36,398.06,40.93,20.37,12.08,41.27,21.59,18.08,13.45,3.5,0,0
U0001,2025-02-07,1,171.75,249.87,38.03,24.88,15.16,32.24,7.14,26.64,13.92,3.79,0,0
U0001,2025-02-08,0,450.62,23.47,95.4,75.32,20.41,133.85,29.48,50.2,9.91,4.63,1,0
U0001,2025-02-09,1,319.25,682.98,103.15,37.49,19.32,61.76,34.28,27.15,10.56,4.92,1,0
U0001,2025-02-10,1,202.83,386.48,37.79,20.83,10.76,47.49,20.81,24.38,24.55,4.3,0,0
U0001,2025-02-11,1,185.16,443.53,35.45,22.25,12.17,47.65,13.88,24.43,14.51,3.73,0,0
U0001,2025-02-12,1,122.66,248.78,11.49,16.41,7.62,23.35,21.2,22.78,9.99,2.7,0,0
U0001,2025-02-13,1,107.73,239.83,9.07,15.45,5.52,25.3,8.65,21.12,14.0,3.14,0,0
U0001,2025-02-14,0,527.72,10.81,124.9,80.87,25.73,146.75,36.76,49.17,21.33,4.95,0,1
U0001,2025-02-15,0,583.31,10.84,79.61,109.34,8.93,197.07,58.96,73.27,9.47,4.35,1,0
U0001,2025-02-16,0,574.63,25.89,118.88,78.33,24.13,125.11,43.01,108.33,30.88,5.05,1,0
U0001,2025-02-17,1,115.51,189.12,26.64,11.24,10.14,17.59,16.44,15.38,8.83,3.49,0,0
U0001,2025-02-18,1,191.11,447.41,41.48,13.75,9.34,45.49,12.15,34.17,19.44,4.34,0,0
U0001,2025-02-19,1,120.61,498.25,25.95,13.64,9.04,30.09,8.77,13.76,9.71,2.77,0,0
